index,ts_code,symbol,name,area,industry,fullname,market,exchange,list_date,is_hs
3672,601228.SH,601228,广州港,广东,港口,广州港股份有限公司,主板,SSE,20170329,H
3673,601229.SH,601229,上海银行,上海,银行,上海银行股份有限公司,主板,SSE,20161116,H
3674,601231.SH,601231,环旭电子,上海,元器件,环旭电子股份有限公司,主板,SSE,20120220,H
3675,601233.SH,601233,桐昆股份,浙江,化纤,桐昆集团股份有限公司,主板,SSE,20110518,H
3676,601236.SH,601236,红塔证券,云南,证券,红塔证券股份有限公司,主板,SSE,20190705,H
3677,601238.SH,601238,广汽集团,广东,汽车整车,广州汽车集团股份有限公司,主板,SSE,20120329,H
3678,601279.SH,601279,英利汽车,吉林,汽车配件,长春英利汽车工业股份有限公司,主板,SSE,20210415,N
3679,601288.SH,601288,农业银行,北京,银行,中国农业银行股份有限公司,主板,SSE,20100715,H
3680,601298.SH,601298,青岛港,山东,港口,青岛港国际股份有限公司,主板,SSE,20190121,H
3681,601311.SH,601311,骆驼股份,湖北,电气设备,骆驼集团股份有限公司,主板,SSE,20110602,H
3682,601318.SH,601318,中国平安,深圳,保险,中国平安保险(集团)股份有限公司,主板,SSE,20070301,H
3683,601319.SH,601319,中国人保,北京,保险,中国人民保险集团股份有限公司,主板,SSE,20181116,H
3684,601326.SH,601326,秦港股份,河北,港口,秦皇岛港股份有限公司,主板,SSE,20170816,H
3685,601328.SH,601328,交通银行,上海,银行,交通银行股份有限公司,主板,SSE,20070515,H
3686,601330.SH,601330,绿色动力,深圳,环境保护,绿色动力环保集团股份有限公司,主板,SSE,20180611,H
3687,601333.SH,601333,广深铁路,深圳,铁路,广深铁路股份有限公司,主板,SSE,20061222,H
3688,601336.SH,601336,新华保险,北京,保险,新华人寿保险股份有限公司,主板,SSE,20111216,H
3689,601339.SH,601339,百隆东方,浙江,纺织,百隆东方股份有限公司,主板,SSE,20120612,H
3690,601360.SH,601360,三六零,天津,互联网,三六零安全科技股份有限公司,主板,SSE,20120116,H
3691,601366.SH,601366,利群股份,山东,百货,利群商业集团股份有限公司,主板,SSE,20170412,N
3692,601368.SH,601368,绿城水务,广西,水务,广西绿城水务股份有限公司,主板,SSE,20150612,N
3693,601369.SH,601369,陕鼓动力,陕西,机械基件,西安陕鼓动力股份有限公司,主板,SSE,20100428,H
3694,601375.SH,601375,中原证券,河南,证券,中原证券股份有限公司,主板,SSE,20170103,H
3695,601377.SH,601377,兴业证券,福建,证券,兴业证券股份有限公司,主板,SSE,20101013,H
3696,601388.SH,601388,怡球资源,江苏,铝,怡球金属资源再生(中国)股份有限公司,主板,SSE,20120423,H
3697,601390.SH,601390,中国中铁,北京,建筑工程,中国中铁股份有限公司,主板,SSE,20071203,H
3698,601398.SH,601398,工商银行,北京,银行,中国工商银行股份有限公司,主板,SSE,20061027,H
3699,601399.SH,601399,国机重装,四川,工程机械,国机重型装备集团股份有限公司,主板,SSE,20200608,H
3700,601456.SH,601456,国联证券,江苏,证券,国联证券股份有限公司,主板,SSE,20200731,H
3701,601500.SH,601500,通用股份,江苏,汽车配件,江苏通用科技股份有限公司,主板,SSE,20160919,H
3702,601512.SH,601512,中新集团,江苏,园区开发,中新苏州工业园区开发集团股份有限公司,主板,SSE,20191220,H
3703,601515.SH,601515,东风股份,广东,广告包装,汕头东风印刷股份有限公司,主板,SSE,20120216,H
3704,601518.SH,601518,吉林高速,吉林,路桥,吉林高速公路股份有限公司,主板,SSE,20100319,N
3705,601519.SH,601519,大智慧,上海,软件服务,上海大智慧股份有限公司,主板,SSE,20110128,H
3706,601528.SH,601528,瑞丰银行,浙江,银行,浙江绍兴瑞丰农村商业银行股份有限公司,主板,SSE,20210625,H
3707,601555.SH,601555,东吴证券,江苏,证券,东吴证券股份有限公司,主板,SSE,20111212,H
3708,601566.SH,601566,九牧王,福建,服饰,九牧王股份有限公司,主板,SSE,20110530,H
