trade_date,open,close,high,low,volume,money
2019-03-04,3783.04,3794.1,3886.58,3764.78,32349012600.0,3.76397284706e+11
2019-03-05,3785.38,3816.01,3816.16,3770.79,23085316600.0,2.61464122212e+11
2019-03-06,3822.86,3848.09,3855.16,3787.52,31807737100.0,3.31155616598e+11
2019-03-07,3841.15,3808.85,3845.18,3778.8,32984654800.0,3.59339152916e+11
2019-03-08,3721.4,3657.58,3774.54,3656.19,31799007700.0,3.49296691227e+11
2019-03-11,3663.98,3729.95,3731.91,3650.81,23091286500.0,2.68718458804e+11
2019-03-12,3758.32,3755.35,3804.72,3723.68,27492638200.0,3.25180619759e+11
2019-03-13,3758.71,3724.19,3763.09,3708.81,23368224800.0,2.8617104816e+11
2019-03-14,3710.29,3698.49,3747.82,3673.85,19081723700.0,2.3182014939e+11
2019-03-15,3713.94,3745.01,3782.24,3713.94,17517454400.0,2.24194362925e+11
2019-03-18,3753.64,3851.75,3851.75,3733.68,21692806000.0,2.7647344887e+11
2019-03-19,3856.59,3833.96,3868.34,3815.22,18172711000.0,2.24096889634e+11
2019-03-20,3825.34,3835.44,3855.15,3790.51,17563209000.0,2.15406993602e+11
2019-03-21,3840.28,3836.89,3864.07,3823.47,19631031000.0,2.31993445602e+11
2019-03-22,3838.13,3833.8,3845.58,3786.59,17135699300.0,1.98518386319e+11
2019-03-25,3776.44,3742.83,3807.18,3741.61,19858632900.0,2.23396564361e+11
2019-03-26,3766.53,3700.44,3770.84,3687.55,17304657900.0,1.96547811179e+11
2019-03-27,3724.41,3743.39,3750.26,3703.45,13875845400.0,1.77507528442e+11
2019-03-28,3731.06,3728.4,3755.72,3710.08,13327212900.0,1.72604392908e+11
2019-03-29,3739.77,3872.34,3876.38,3739.77,21563910300.0,2.83022298648e+11
2019-04-01,3901.17,3973.93,3982.91,3901.17,27138270400.0,3.40799403573e+11
2019-04-02,3986.34,3971.29,3988.1,3956.51,22600034100.0,2.81892057021e+11
2019-04-03,3947.87,4022.16,4026.5,3939.78,23191736800.0,2.84826495445e+11
2019-04-04,4039.74,4062.23,4072.11,4021.71,26041093900.0,3.13539431378e+11
2019-04-08,4097.1,4057.23,4122.6,4017.49,26750557600.0,3.24670452523e+11
2019-04-09,4063.81,4075.43,4084.24,4038.28,18295680800.0,2.43187913128e+11
2019-04-10,4062.44,4085.85,4115.38,4035.47,19468761300.0,2.78282025052e+11
2019-04-11,4083.46,3997.58,4097.12,3990.24,16904964100.0,2.36259156719e+11
2019-04-12,3986.78,3988.62,4006.93,3961.46,13586211800.0,1.78795939062e+11
2019-04-15,4056.49,3975.52,4085.39,3974.23,18264557100.0,2.36298721391e+11
2019-04-16,3958.1,4085.79,4085.79,3943.49,20204196600.0,2.50569206656e+11
2019-04-17,4080.72,4087.24,4106.62,4057.5,18036711700.0,2.28824429887e+11
2019-04-18,4085.11,4072.08,4094.05,4056.24,14656212300.0,1.87812687766e+11
2019-04-19,4076.3,4120.61,4120.64,4046.2,15079491000.0,1.94701690763e+11
2019-04-22,4125.97,4025.61,4126.09,4015.47,18935374500.0,2.44380549239e+11
2019-04-23,4021.63,4019.01,4061.09,4005.28,15561165000.0,2.04121505816e+11
2019-04-24,4033.63,4030.09,4044.34,3967.81,14549869500.0,1.86497961652e+11
2019-04-25,4013.6,3941.82,4022.56,3938.33,15972207100.0,1.97530997752e+11
2019-04-26,3921.89,3889.27,3943.83,3887.25,14200806800.0,1.86572137127e+11
2019-04-29,3896.58,3900.33,3953.23,3875.45,15387092700.0,2.03946553152e+11
